product_id,brand_name,pants_description,price,mrp,discount_percent,ratings,number_of_ratings
137,Urbano Fashion,Men Slim Fit Jeans,629,1399,0.55,4,22300
138,FUGAZEE,Men Relaxed Fit Jeans,2099,3499,0.4,3.7,124
139,The Indian Garage Co,Men Slim Fit Mid-Rise Jeans,659,1999,0.67,4,1600
140,Roadster,Men Black Faded Casual Jeans,774,2499,0.69,3.5,868
141,French Connection,Men Slim Fit Jeans,1294,3499,0.63,4.4,17
142,Mast & Harbour,Men Straight Fit Jeans,764,1699,0.55,3.5,38
143,Roadster,Men Slim Fit Jeans,681,2199,0.69,3.8,185
144,Mufti,Men Slim Fit Jeans,1553,4199,0.63,3.8,22
145,Mast & Harbour,Men Slim Tapered Fit Jeans,701,2599,0.73,3.8,314
146,The Indian Garage Co,Men Pure Cotton Skater Jeans,688,2549,0.73,3.7,35
147,Mufti,Men Super Skinny Fit Jeans,1393,3399,0.59,3.7,35
148,The Indian Garage Co,Men Relaxed Fit Jeans,808,2449,0.67,3.5,589
149,glitchez,Men Straight Fit Jeans,797,1399,0.43,4,230
150,Mufti,Men Slim Fit Jeans,1649,3299,0.5,4.2,5
151,Mufti,Men Slim Fit Jeans,1649,3299,0.5,4.2,5
152,Thomas Scott,Men Bootcut Stretchable Jeans,874,3499,0.75,3.6,234
153,Mast & Harbour,Men Relaxed Fit Jeans,819,2599,17.8,3.4,252
154,Mufti,Men Skinny Fit Jeans,1762,4299,0.59,4.9,7
155,HIGHLANDER,Men Cotton Relaxed Fit Jeans,574,2299,0.75,3.5,234
156,Mast & Harbour,Men Stretchable Jeans,889,2999,0.7,3.7,189
157,Mufti,Men Slim Fit Jeans,1214,4499,0.73,4.4,43
158,Urbano Fashion,Men Relaxed Fit Jeans,944,2099,0.55,3.8,567
159,Bene Kleed,Men Wide Leg High-Rise Jeans,1035,2799,0.63,3.9,45
160,Mufti,Men Skinny Fit Jeans,2149,4299,0.5,3.9,45
161,Mast & Harbour,Men Slim Fit Mid-Rise Jeans,764,1699,0.55,4,9
162,HIGHLANDER,Men Relaxed Fit Cotton Jeans,791,2399,0.67,3.6,2800
163,Mufti,Men Slim Fit Stretchable Jeans,1332,4299,0.69,3.4,87
164,Bene Kleed,Men Straight Fit Jeans,989,2999,0.67,4.1,73
165,V-Mart,Men Straight Fit Jeans,809,899,0.1,3.5,41
166,Flying Machine,Men Relaxed Fit Jeans,1424,2499,0.43,4.1,8
167,Urbano Fashion,Men Relaxed Fit Cotton Jeans,1079,2399,0.55,4,485
168,The Indian Garage Co,Men Relaxed Fit Jeans,661,2449,0.73,3.8,127
169,Levis,Men 511 Slim Fit Jeans,2079,3199,0.35,4.2,794
170,Kotty,Men Regular Fit Mid-Rise Jeans,659,1999,0.67,3.4,21
171,Urbano Fashion,Men Bootcut Jeans,944,2099,0.55,4.1,1100
172,Levis,Men Regular Fit Jeans,944,2099,0.55,4.1,1100
173,Roadster,Men Relaxed Fit Jeans,645,1699,0.62,3.6,45
174,Mast & Harbour,Men Cotton Regular Fit Jeans,1121,2199,0.49,1.8,423
175,Flying Machine,Men Tapered Fit Jeans,1829,2999,0.39,1.8,423
176,Bene Kleed,Men Straight Fit Jeans,979,3499,0.72,3.5,115
177,Nautica,Men Slim Fit Jeans,1088,3299,0.67,4.5,30
178,Flying Machine,Men Micheal Slim Fit Jeans,1559,2599,0.4,4.1,554
179,Bene Kleed,Men High-Rise Baggy Fit Jeans,983,2399,0.59,3.6,34
180,Urbano Fashion,Men Mid Rise Bootcut Jeans,899,1999,0.55,4.2,1200
181,Mufti,Men Slim Fit Mid-Rise Jeans,1332,4299,0.69,4.1,24
182,MASTERLY WEFT,Men Mid-Rise Stretchable Jeans,959,1999,0.52,3.2,6
183,Kotty,Men Low-Rise Jeans,619,1999,0.69,4.4,25
184,Flying Machine,Men Super Skinny Fit Jeans,1649,2999,0.45,4.4,25
185,The Indian Garage Co,Men Slim Fit Jeans,659,1999,0.67,3.8,1400
186,glitchez,Men Baggy Loose Jeans,747,2199,0.66,3.3,65
187,Flying Machine,Men Slim Fit Mid-Rise Jeans,1448,2299,0.37,3.3,65
188,Mast & Harbour,Relaxed Fit Jeans,831,2599,0.68,3.6,203
189,Bene Kleed,Men Straight Fit Cotton Jeans,1049,2999,0.65,3.5,32
190,Mufti,Men Slim Fit Jeans,2149,4299,0.5,3.4,5
191,Roadster,Men Cotton Mid Rise Jeans,919,2299,0.6,3.9,61
192,HIGHLANDER,Men Wide Leg Cotton Jeans,1099,2799,17,3.9,236
193,Flying Machine,Men Slim Fit Jeans,1707,2799,0.39,3.9,236
194,Mast & Harbour,Men Relaxed Fit Jeans,883,3399,0.74,4.1,703
195,HIGHLANDER,Men Slim Fit Jeans,675,1299,0.48,3.8,13700
196,Flying Machine,Men Slim Fit Jeans,1829,2999,0.39,3.8,13700
197,Sztori,Plus Size Stretchable Jeans,863,2699,0.68,4.4,555
198,HERE&NOW,Men Bootcut Jeans,869,2499,16.3,4.2,374
199,Flying Machine,Non Stretchable Cotton Jeans,1829,2999,0.39,4.2,374
200,Roadster,Men Pure Cotton Jeans,917,3399,0.73,4,534
201,Roadster,Men Straight Fit Jeans,599,1499,0.6,4.2,80
202,TURMS,30 Days No Wash Jeans,3499,4999,15,3.7,22
203,Roadster,Men Cotton Baggy-Fit Jeans,1024,2499,0.59,3.9,355
204,Bene Kleed,Mid-Rise Heavy Fade Jeans,989,2999,0.67,3.5,100
205,Flying Machine,Men Slim Fit Cotton Jeans,1829,2999,0.39,3.5,100
206,WROGN,Men Slim Fit Jeans,919,2299,0.6,4.5,15
